"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,785.52734,-74.09804,1409.07776,-413.70255,-10.24323,1272.50574,-1152.74561,30.08777,1256.65833,-108.20889,101.38524,118.84624,-7.44518,-178.67090,-8.40669,-980.20642,172.75203,-9.99085,-1235.90930,-176.50212,34.11183
2,0.017,777.03607,-72.51465,1414.78528,-420.19510,-6.93547,1267.29773,-1157.38342,27.87862,1249.82629,-43.27156,95.92927,115.80109,-55.49144,-179.38695,-8.66706,-1028.62048,171.83368,-10.15675,-1176.88672,-171.95035,37.55219
3,0.033,767.69867,-71.08238,1421.92480,-424.26404,-5.14022,1263.42017,-1161.86963,24.95711,1244.80627,25.27698,91.50125,110.95551,-104.10294,-179.82259,-9.04558,-1077.39343,171.27420,-9.96107,-1116.12109,-164.52972,41.89819
4,0.050,757.33508,-69.73471,1430.74072,-426.38416,-5.38850,1261.74829,-1165.74817,21.61859,1242.71899,97.25620,87.92461,104.94794,-153.04942,-180.37242,-9.10909,-1126.35718,170.77536,-9.55243,-1054.95508,-153.47015,48.06454
5,0.067,746.46753,-68.22588,1440.49170,-428.20560,-7.00180,1262.65222,-1168.55676,18.66937,1243.69678,170.04797,84.65508,98.88741,-202.47878,-180.90759,-8.88449,-1175.86865,169.69829,-9.22351,-994.93121,-141.01666,55.10329
6,0.083,735.99994,-66.40261,1450.32300,-430.03482,-8.75177,1266.13623,-1170.28247,16.55189,1247.22314,241.78479,80.84485,91.40148,-252.55081,-181.25357,-8.66519,-1226.27429,168.23552,-9.01815,-934.89600,-129.69234,61.49221
7,0.100,726.91766,-64.35853,1459.57605,-431.18192,-9.94914,1271.85474,-1171.22302,15.29472,1252.69995,312.91068,75.64171,80.93590,-302.59735,-182.20462,-8.04732,-1276.90979,167.67393,-8.33550,-873.64661,-121.06041,68.02121
8,0.117,720.02765,-62.31624,1467.63049,-431.23587,-10.83916,1278.97253,-1171.52112,14.79833,1259.61511,382.58310,70.78598,71.38788,-352.80945,-183.76611,-7.13816,-1327.69250,167.82236,-7.40358,-813.60321,-116.64091,75.56242
9,0.133,715.73169,-60.47602,1473.90833,-430.26187,-11.88545,1286.25269,-1171.10730,14.86276,1267.29236,440.83426,69.03372,65.72777,-404.03506,-184.91512,-6.47989,-1378.92578,167.37221,-7.33209,-761.24292,-116.88548,80.57430
10,0.150,713.85339,-58.96032,1478.02710,-428.46341,-13.04807,1292.50806,-1170.06421,15.19733,1274.71729,471.97818,69.97631,55.88076,-453.56403,-186.14279,-5.11477,-1428.37158,167.36696,-5.73890,-722.88342,-121.82403,77.32666
11,0.167,713.61395,-57.76270,1479.84521,-426.08731,-13.80629,1296.87964,-1168.78088,15.58401,1280.78357,472.91440,72.16380,35.54501,-497.60739,-188.36951,-1.40129,-1472.54529,169.09073,0.69853,-699.62653,-131.93048,64.79048
12,0.183,713.97821,-56.75622,1479.45532,-423.50720,-13.67093,1298.81921,-1167.55396,15.78194,1284.67297,455.11111,74.62534,14.89924,-534.48572,-191.51582,9.57610,-1509.77930,172.06221,10.08847,-689.54285,-145.91243,46.94693
13,0.200,714.29614,-55.84218,1477.14856,-421.22284,-12.72606,1298.15710,-1166.21936,15.35931,1285.93530,424.30759,75.28542,5.63791,-555.35437,-196.92752,34.49519,-1540.85449,175.76930,20.88602,-691.82648,-160.32803,28.17247
14,0.217,714.70306,-55.03571,1473.31763,-419.63025,-11.63363,1295.12976,-1164.62952,14.06566,1284.51855,379.91425,74.09068,4.68542,-548.53400,-205.41707,66.27207,-1567.19971,177.61389,34.38832,-707.34595,-170.85918,13.05030
15,0.233,715.86658,-54.37714,1468.36328,-418.84015,-11.06483,1290.13623,-1163.41467,12.22883,1280.96448,329.02472,73.24959,4.36703,-517.06946,-214.08423,88.03638,-1584.14551,174.37044,46.80376,-739.23132,-175.00621,5.60192
