"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,1028.82654,-143.86031,1469.98584,-43.19252,-15.01350,1260.07031,-789.64404,54.97639,1280.63794,374.05359,-172.94177,-1.80515,247.97513,106.15462,128.78079,-729.22253,226.38660,-6.16587,-877.63385,-93.86847,28.96444
2,0.008,1026.39026,-144.69974,1471.75842,-45.05242,-13.28353,1259.99146,-791.08087,53.86935,1279.27271,350.02017,-171.35219,-2.14598,281.02997,103.54048,122.69004,-753.61060,228.15134,-6.21862,-847.29169,-90.68240,31.58819
3,0.017,1023.83453,-145.59706,1473.77112,-46.91796,-11.63737,1260.06152,-792.35260,52.85016,1278.10815,326.04242,-169.73439,-2.42522,314.73846,100.95924,116.09206,-777.90704,229.89194,-6.23051,-816.63013,-87.28426,34.03103
4,0.025,1021.06946,-146.60046,1476.20142,-48.77270,-10.12711,1260.42065,-793.35754,51.93848,1277.37830,302.09634,-168.05028,-2.61706,349.50180,98.36062,108.75925,-802.09387,231.53407,-6.18428,-785.50195,-83.53096,36.13270
5,0.033,1018.04663,-147.72260,1479.13049,-50.55330,-8.75971,1261.19861,-794.10083,51.09416,1277.29224,278.07111,-166.30017,-2.70476,385.43811,95.59671,100.78979,-826.22992,232.97862,-6.10520,-754.01135,-79.48920,37.78401
6,0.042,1014.75214,-148.91508,1482.55103,-52.15310,-7.51749,1262.50928,-794.68884,50.27011,1277.94531,253.84108,-164.58594,-2.64740,422.51923,92.48795,92.50449,-850.42419,234.25656,-5.97452,-722.43054,-75.49104,38.98758
7,0.050,1011.19623,-150.09738,1486.40820,-53.45250,-6.39260,1264.43530,-795.25806,49.43807,1279.30591,229.34431,-163.03047,-2.42774,460.65982,88.87517,84.29263,-874.78363,235.59836,-5.69256,-691.04401,-71.91550,39.84100
8,0.058,1007.41016,-151.22598,1490.64172,-54.34879,-5.40073,1267.01208,-795.88385,48.57929,1281.28040,204.60703,-161.59099,-2.11453,499.67902,84.67391,76.49601,-899.33154,237.35379,-5.16139,-660.04010,-68.98305,40.44964
9,0.067,1003.44110,-152.32225,1495.19910,-54.78208,-4.57869,1270.22095,-796.54425,47.67875,1283.77673,179.71040,-160.07889,-1.79935,539.29700,79.97997,69.41494,-924.01263,239.88251,-4.30224,-629.46338,-66.82337,40.89999
10,0.075,999.34448,-153.44641,1500.03223,-54.75238,-3.97925,1273.99561,-797.15167,46.74286,1286.72791,154.73705,-158.37924,-1.49734,579.25562,75.07787,63.36783,-948.79907,243.27811,-3.11128,-599.24890,-65.58279,41.28782
11,0.083,995.17749,-154.66440,1505.10388,-54.31399,-3.65010,1278.23682,-797.60638,45.82024,1290.07996,129.73323,-156.52081,-1.18213,619.38330,70.32200,58.76093,-973.71094,247.02069,-1.85511,-569.36176,-65.41397,41.73470
12,0.092,990.99152,-156.03236,1510.39172,-53.54745,-3.60141,1282.82971,-797.83057,45.00011,1293.75952,104.69592,-154.57220,-0.86673,659.40350,66.14441,56.14516,-998.75067,250.22382,-1.00146,-539.94513,-66.43061,42.32030
