"Frame","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,897.69873,232.31239,1256.52979,-233.05281,-70.45197,1279.15198,-973.53131,68.42962,1262.38293,224.31328,66.31654,-2.88391,104.55349,-252.02785,46.38138,-1298.97974,330.82562,-4.60018,-514.14026,-191.86827,-9.21008
2,0.008,899.94263,231.58751,1254.87720,-232.92860,-70.77500,1279.23950,-972.20563,66.67071,1259.83960,210.51987,67.05612,-2.96278,132.46017,-253.32980,49.16298,-1312.61987,331.95459,-4.60612,-527.96771,-191.01186,-9.11611
3,0.017,902.15039,230.77914,1253.40527,-232.73152,-71.08813,1279.26770,-970.86560,64.95524,1257.58838,196.82675,67.93386,-2.96371,160.33034,-254.33719,51.87910,-1326.25842,332.82147,-4.62315,-541.65430,-190.19824,-9.12920
4,0.025,904.28815,229.82899,1252.26099,-232.41017,-71.38403,1279.18738,-969.51337,63.33832,1255.85522,183.28824,69.03622,-2.86110,188.09225,-254.98108,54.50241,-1339.76196,333.43372,-4.50133,-555.21515,-189.43150,-9.26287
5,0.033,906.32770,228.71309,1251.54102,-231.94873,-71.65327,1278.96765,-968.17029,61.90174,1254.76733,169.89714,70.25944,-2.74740,215.69505,-255.37016,57.00859,-1352.92944,333.98953,-4.03103,-568.72424,-188.65756,-9.47739
6,0.042,908.25031,227.43378,1251.29529,-231.36929,-71.88804,1278.60498,-966.87030,60.75515,1254.35706,156.57776,71.21643,-2.83128,243.16000,-255.61516,59.31751,-1365.58569,334.74167,-3.04373,-582.21368,-187.80170,-9.73798
7,0.050,910.04309,226.00830,1251.54114,-230.71756,-72.09424,1278.12231,-965.65759,60.00790,1254.58057,143.24301,71.64660,-3.19153,270.56757,-255.75667,61.29832,-1377.56189,335.96222,-1.36959,-595.67444,-186.85204,-9.99937
8,0.058,911.69183,224.45833,1252.27234,-230.03603,-72.28604,1277.56128,-964.58813,59.72347,1255.34192,129.87238,71.81467,-3.61647,298.04556,-255.79826,62.81977,-1388.75183,337.78302,1.10381,-609.06128,-185.92900,-10.20532
9,0.067,913.17957,222.80029,1253.46729,-229.34438,-72.46496,1276.97375,-963.71454,59.89082,1256.52563,116.48322,72.12816,-3.86125,325.78036,-255.75134,63.79268,-1399.22327,340.01691,4.29671,-622.34320,-185.22527,-10.33485
10,0.075,914.49268,221.04063,1255.09521,-228.64001,-72.61079,1276.41919,-963.05835,60.43193,1258.02893,103.06133,72.68569,-3.87563,353.97626,-255.66521,64.22528,-1409.17664,342.20938,7.95761,-635.55341,-184.82634,-10.41653
11,0.083,915.62341,219.17529,1257.11816,-227.91507,-72.69798,1275.95813,-962.59601,61.23352,1259.78455,89.57501,73.36930,-3.74054,382.73291,-255.63043,64.26735,-1418.83411,343.78513,11.79063,-648.75061,-184.60982,-10.50293
12,0.092,916.57037,217.19170,1259.49109,-227.17107,-72.72066,1275.64172,-962.26843,62.17648,1261.76355,76.04543,74.04050,-3.57940,411.92917,-255.73726,64.16759,-1428.33557,344.29620,15.58222,-661.98431,-184.33989,-10.64440
13,0.100,917.33752,215.07964,1262.16003,-226.41187,-72.69244,1275.50159,-962.00574,63.14339,1263.96106,62.54820,74.63103,-3.49313,441.19135,-256.00726,64.16301,-1437.65332,343.84332,19.39004,-675.30090,-183.85828,-10.85244
14,0.108,917.93054,212.84583,1265.06470,-225.62550,-72.62412,1275.54834,-961.74994,64.01599,1266.37866,49.12888,75.18639,-3.49006,469.91238,-256.34958,64.36070,-1446.55945,343.01978,23.56825,-688.71338,-183.14011,-11.07824
15,0.117,918.35760,210.51505,1268.14771,-224.78447,-72.51356,1275.77625,-961.46313,64.68114,1269.01099,35.76343,75.79783,-3.50757,497.28799,-256.61057,64.64597,-1454.53674,342.22324,28.40876,-702.15948,-182.23665,-11.23763
16,0.125,918.63318,208.11859,1271.36047,-223.86508,-72.36039,1276.16357,-961.12079,65.04115,1271.84570,22.40511,76.49566,-3.49277,522.45111,-256.67831,64.67500,-1460.67480,341.37158,33.88597,-715.53363,-181.29576,-11.26093
17,0.133,918.77368,205.68198,1274.66003,-222.86284,-72.18841,1276.67542,-960.70300,65.02519,1274.86975,9.03148,77.24615,-3.44410,544.74457,-256.53503,64.00958,-1463.75867,340.17694,39.68062,-728.79736,-180.48595,-11.15408
18,0.142,918.78809,203.22174,1278.00513,-221.79037,-72.04557,1277.27893,-960.19543,64.60073,1278.06836,-4.35019,78.01564,-3.40240,563.97333,-256.25327,62.34320,-1462.70337,338.20538,45.05085,-742.03571,-179.81079,-10.99800
19,0.150,918.67517,200.75256,1281.35571,-220.66713,-71.98382,1277.95605,-959.59412,63.77919,1281.41528,-17.72694,78.80866,-3.40246,580.42847,-255.93228,59.63524,-1457.12109,334.88287,48.88014,-755.34033,-179.15196,-10.85507
20,0.158,918.42780,198.28436,1284.67603,-219.51628,-72.05621,1278.70154,-958.90570,62.61654,1284.86853,-31.10336,79.66301,-3.43157,594.61719,-255.59032,56.04584,-1447.44592,329.93069,50.43681,-768.70630,-178.38597,-10.74019
21,0.167,918.03906,195.81317,1287.93713,-218.37073,-72.33552,1279.51270,-958.14691,61.20645,1288.37585,-44.50426,80.61111,-3.45606,606.86572,-255.15259,51.77303,-1434.49475,323.68427,50.12333,-782.13184,-177.37743,-10.68294
22,0.175,917.50867,193.33156,1291.11401,-217.27380,-72.91805,1280.38098,-957.35095,59.66117,1291.88159,-57.96605,81.64824,-3.46393,617.11847,-254.54842,46.91798,-1419.05200,316.71436,49.17353,-795.68610,-176.10590,-10.70124
23,0.183,916.84674,190.84610,1294.18506,-216.26085,-73.88414,1281.29089,-956.56671,58.08566,1295.32971,-71.51036,82.73754,-3.46490,625.07336,-253.75122,41.44064,-1401.82581,309.37399,48.56964,-809.39600,-174.82054,-10.72645
24,0.192,916.07233,188.37769,1297.12720,-215.33554,-75.23808,1282.22705,-955.84753,56.55259,1298.67688,-85.12114,83.82999,-3.47399,630.47089,-252.71512,35.23936,-1383.38599,301.81958,48.37523,-823.20538,-173.86264,-10.65003
25,0.200,915.20880,185.95233,1299.90955,-214.47099,-76.89518,1283.17847,-955.24042,55.09405,1301.90637,-98.76469,84.88625,-3.49241,633.27673,-251.35666,28.30315,-1363.80298,294.10959,48.04862,-837.07520,-173.32135,-10.42734
26,0.208,914.28058,183.59299,1302.49585,-213.63599,-78.73871,1284.13672,-954.77283,53.71812,1305.01697,-112.43520,85.90137,-3.48787,633.61908,-249.66280,20.84886,-1342.51672,286.23129,47.14515,-850.96411,-172.89798,-10.13895
27,0.217,913.31012,181.31573,1304.85120,-212.81659,-80.68304,1285.09290,-954.43500,52.42277,1307.99878,-126.16454,86.90480,-3.40676,631.56134,-247.75565,13.42746,-1318.83484,278.25482,45.69114,-864.72827,-172.10852,-9.96731
28,0.225,912.31573,179.13286,1306.94189,-212.01413,-82.68747,1286.03662,-954.17810,51.18644,1310.83630,-139.96797,87.91460,-3.23894,626.93085,-245.79300,6.97686,-1292.49329,270.38397,44.13501,-878.28522,-170.75970,-10.01042
29,0.233,911.31024,177.05281,1308.73633,-211.23329,-84.73659,1286.96338,-953.93597,49.95720,1313.52686,-153.81093,88.90207,-3.05867,619.43774,-243.84164,2.51803,-1263.65796,262.66312,42.99325,-891.78986,-169.17329,-10.15836
30,0.242,910.30573,175.07274,1310.20837,-210.47949,-86.82074,1287.88135,-953.65149,48.66190,1316.08228,-167.67857,89.83934,-2.95496,609.08447,-241.89543,0.39417,-1232.66626,254.78653,42.47482,-905.45355,-167.77173,-10.26452
31,0.250,909.32526,173.18266,1311.33472,-209.76164,-88.92841,1288.80469,-953.29218,47.23357,1318.51746,-181.61787,90.76672,-2.93336,596.43787,-240.04636,-0.05885,-1200.00305,246.47514,42.50449,-919.34595,-166.64040,-10.29573
32,0.258,908.40955,171.38237,1312.09277,-209.08812,-91.04075,1289.73718,-952.85388,45.64131,1320.82971,-195.65373,91.75742,-2.91764,582.46307,-238.53712,0.13783,-1166.29358,237.87434,42.98366,-933.43164,-165.58205,-10.26961
33,0.267,907.61060,169.69052,1312.45911,-208.46063,-93.11388,1290.66907,-952.35767,43.89495,1322.98535,-209.72038,92.82127,-2.84127,568.08984,-237.47878,0.33557,-1132.03467,229.35077,43.85559,-947.66565,-164.42206,-10.21383
34,0.275,906.97986,168.14066,1312.41650,-207.88269,-95.07127,1291.59009,-951.84888,42.02154,1324.93115,-223.69115,93.90305,-2.71161,553.85608,-236.64011,0.35532,-1097.41187,221.08856,45.06574,-961.96716,-163.22176,-10.15767
35,0.283,906.55939,166.76701,1311.95959,-207.37599,-96.83319,1292.50427,-951.39832,40.04967,1326.61853,-237.42400,94.97749,-2.55500,539.87329,-235.71481,0.23859,-1062.47144,212.99261,46.60428,-976.17169,-162.19684,-10.07173
36,0.292,906.37207,165.58813,1311.09473,-206.97815,-98.35106,1293.43030,-951.09418,38.01636,1328.01685,-250.77180,96.09074,-2.31760,526.03607,-234.64601,0.04184,-1027.32202,204.84579,48.49153,-990.14075,-161.44408,-9.91426
37,0.300,906.41785,164.59753,1309.83521,-206.72816,-99.61119,1294.38733,-951.01624,35.97128,1329.11450,-263.58801,97.28285,-1.87623,512.24225,-233.58803,-0.20034,-992.10632,196.56393,50.63868,-1003.87482,-160.83060,-9.72928
