"Frame#","Time","HeadX","HeadY","HeadZ","WithersX","WithersY","WithersZ","SacrumX","SacrumY","SacrumZ","HFLX","HFLY","HFLZ","HFRX","HFRY","HFRZ","HHLX","HHLY","HHLZ","HHRX","HHRY","HHRZ"
1,0.000,928.42889,176.53827,1295.30225,-285.11731,2.73239,1277.17517,-1057.31201,49.71877,1292.75269,522.68866,210.70206,68.16565,-19.02583,-89.73366,5.10802,-781.81287,311.89426,-2.45457,-1515.65723,-165.30585,31.72015
2,0.008,924.97467,176.39175,1299.27124,-285.04007,2.97773,1278.09668,-1057.23975,49.69229,1297.27576,540.68616,213.00153,67.73944,-32.65224,-89.98680,4.95460,-795.27539,311.50543,-2.31344,-1504.88452,-155.63980,29.11291
3,0.017,921.43768,176.39084,1303.31775,-284.96271,3.26342,1279.01929,-1057.18518,49.75392,1301.72693,556.70178,215.08833,65.94044,-46.26510,-90.31430,4.86608,-808.83691,311.08563,-2.14569,-1493.24207,-146.61208,27.59482
4,0.025,917.77106,176.65259,1307.47827,-284.88562,3.62874,1279.95618,-1057.16882,49.97575,1306.04541,570.04749,216.78859,62.49677,-59.90823,-90.71425,4.86336,-822.52197,310.67859,-1.93097,-1480.19348,-139.00275,27.57428
5,0.033,913.96686,177.23383,1311.73938,-284.80954,4.09636,1280.92798,-1057.21057,50.39354,1310.18835,580.97479,218.05400,57.97529,-73.64783,-91.12952,4.92326,-836.31409,310.32053,-1.68227,-1465.53516,-133.44128,28.69793
6,0.042,910.04541,178.12910,1316.05566,-284.73471,4.66581,1281.94885,-1057.32385,51.00769,1314.13184,589.76318,218.97414,52.98503,-87.50021,-91.50727,5.00833,-850.19360,309.99771,-1.44761,-1449.07153,-129.59863,30.13796
7,0.050,906.04742,179.28526,1320.37305,-284.65924,5.33412,1283.02319,-1057.51050,51.79570,1317.86194,596.44891,219.73401,47.86431,-101.41750,-91.82243,5.08923,-864.12488,309.70609,-1.26469,-1430.37073,-125.80275,30.91755
8,0.058,902.02057,180.58786,1324.63855,-284.57715,6.12227,1284.15076,-1057.75891,52.70076,1321.35754,600.89685,220.51501,42.72464,-115.35107,-92.08882,5.14528,-878.04724,309.45734,-1.12114,-1409.09106,-120.75272,30.59170
9,0.067,898.00415,181.84496,1328.79675,-284.48083,7.07136,1285.32434,-1058.04541,53.61816,1324.57947,602.85583,221.32820,37.55264,-129.29289,-92.35109,5.16218,-891.92261,309.22275,-0.97334,-1385.40271,-115.22069,29.69028
10,0.075,894.02490,182.85721,1332.79260,-284.36630,8.21270,1286.52905,-1058.34375,54.42327,1327.47937,602.01160,222.00993,32.29575,-143.25493,-92.64719,5.15208,-905.79803,308.93683,-0.80560,-1359.75159,-110.72069,29.06338
11,0.083,890.09930,183.56386,1336.58740,-284.23291,9.54849,1287.74707,-1058.64246,55.03802,1330.02112,598.06085,222.38623,26.86697,-157.26389,-93.00047,5.16889,-919.76129,308.56192,-0.65318,-1332.46533,-107.67036,29.08767
12,0.092,886.23950,184.09879,1340.16724,-284.07730,11.05115,1288.95654,-1058.95703,55.48263,1332.20715,590.87372,222.30710,21.13535,-171.35359,-93.42435,5.26187,-933.83765,308.10626,-0.55063,-1303.76648,-105.56248,29.67111
13,0.100,882.46179,184.68289,1343.53259,-283.89142,12.67400,1290.12830,-1059.31824,55.86074,1334.07764,580.74152,221.59378,15.12430,-185.50607,-93.87761,5.40933,-947.98712,307.60696,-0.47785,-1273.89294,-103.77884,30.59784
14,0.108,878.78699,185.45627,1346.69092,-283.66602,14.37155,1291.22827,-1059.74402,56.29722,1335.67639,568.52795,220.17058,9.40903,-199.64737,-94.27007,5.53896,-962.17651,307.09549,-0.38771,-1243.06372,-101.94223,31.69480
15,0.117,875.23462,186.39961,1349.65393,-283.39383,16.11143,1292.22412,-1060.21521,56.87695,1337.02002,555.42590,218.27969,5.06645,-213.73473,-94.58365,5.61037,-976.39038,306.55777,-0.26666,-1211.41748,-99.92960,32.85588
16,0.125,871.82849,187.43633,1352.42566,-283.07376,17.87043,1293.09351,-1060.67664,57.60512,1338.10059,542.23413,216.44447,2.74052,-227.77582,-94.91222,5.64094,-990.58533,305.99750,-0.13274,-1179.06274,-97.78976,34.12280
17,0.133,868.60352,188.55473,1354.99634,-282.72015,19.62795,1293.82935,-1061.06128,58.40847,1338.89978,528.93347,215.10266,1.97348,-241.77448,-95.33116,5.66334,-1004.69928,305.49438,0.00013,-1146.10742,-95.68461,35.69359
18,0.142,865.59357,189.74620,1357.35144,-282.36688,21.36504,1294.43958,-1061.32043,59.18234,1339.38660,515.24542,214.29086,1.84802,-255.72314,-95.80085,5.69563,-1018.72766,305.11261,0.11861,-1112.60730,-93.78188,37.70129
19,0.150,862.81873,190.90030,1359.48096,-282.05847,23.07069,1294.94287,-1061.45068,59.85204,1339.52173,501.25839,213.76855,1.83190,-269.61246,-96.23499,5.74302,-1032.73804,304.81631,0.20068,-1078.66699,-92.12933,40.04929
20,0.158,860.29529,191.89755,1361.37817,-281.83896,24.73870,1295.35938,-1061.51172,60.39542,1339.28613,487.24158,213.33980,1.76620,-283.43109,-96.61415,5.80809,-1046.76489,304.49048,0.23399,-1044.59399,-90.70506,42.50375
21,0.167,858.05334,192.80368,1363.03015,-281.74832,26.35332,1295.70264,-1061.62170,60.80493,1338.69922,473.29703,212.96976,1.58457,-297.15829,-96.98685,5.89596,-1060.75964,304.01764,0.22551,-1010.79456,-89.55869,44.82129
22,0.175,856.13086,193.84695,1364.40967,-281.82281,27.89312,1295.98047,-1061.93591,61.03069,1337.79578,459.39636,212.67915,1.27276,-310.72101,-97.38852,6.00068,-1074.68213,303.39169,0.19961,-977.54309,-88.75141,46.79750
23,0.183,854.54297,195.18207,1365.47534,-282.09634,29.34260,1296.19836,-1062.62549,60.94256,1336.60400,445.51263,212.41812,0.89129,-323.99976,-97.81963,6.12773,-1088.53687,302.76849,0.18925,-944.90344,-88.22621,48.33633
24,0.192,853.26538,196.77554,1366.19312,-282.60101,30.68499,1296.35852,-1063.84802,60.34194,1335.14697,431.66052,212.13406,0.56677,-336.90659,-98.28598,6.36280,-1102.31018,302.34436,0.20871,-912.80444,-87.86098,49.46093
25,0.200,852.25104,198.50145,1366.55603,-283.36557,31.89104,1296.45081,-1065.67017,59.10448,1333.45264,417.87524,211.89037,0.43776,-349.37717,-98.78934,6.86561,-1115.96716,302.17950,0.25336,-881.14648,-87.59396,50.18599
26,0.208,851.46295,200.25911,1366.57544,-284.41132,32.91895,1296.44824,-1067.96277,57.41006,1331.55017,404.17273,211.76599,0.52787,-361.30063,-99.30698,7.78680,-1129.52002,302.16260,0.32177,-849.90961,-87.52139,50.49090
27,0.217,850.89014,202.01448,1366.26428,-285.74768,33.73220,1296.31653,-1070.41541,55.77267,1329.45544,390.54135,211.71777,0.69073,-372.52026,-99.87901,9.24333,-1143.06934,302.12909,0.40587,-819.18872,-87.90083,50.47922
28,0.225,850.53699,203.78131,1365.62891,-287.36743,34.32781,1296.03064,-1072.73682,54.73509,1327.16418,376.93594,211.63802,0.73760,-382.83560,-100.64330,11.29861,-1156.71692,302.02100,0.49607,-789.08215,-88.94548,50.35491
29,0.233,850.40680,205.58565,1364.66870,-289.24710,34.74712,1295.58350,-1074.83447,54.52431,1324.66772,363.29785,211.47565,0.60410,-391.95142,-101.62245,13.84069,-1170.44055,301.89212,0.59476,-759.61780,-90.62798,50.16938
